country_code,country,media_type,tmdb_id,title,original_title,original_language,release_date,genre_ids,genres,popularity,vote_average,vote_count,overview,poster_path,only_abroad
KR,대한민국,movie,315635,스파이더맨: 홈커밍,Spider-Man: Homecoming,en,2017-07-05,"28,12,878","액션, 모험, SF",215.1899,7.332,23507,"토니 스타크의 제안을 받고 시빌 워에 참여한 피터 파커는 다음 임무가 언제일지 설렘을 안고 하루하루를 보낸다. 토니는 MIT 진학 준비에 전념할 것을 권하지만 친절한 이웃에 머무는 것은 피터의 성에 차지 않는다. 한편 어벤져스 군단과 외계 세력의 전투로 생긴 산업폐기물을 처리하던 아드리안 툼즈는 그 일이 토니 스타크와 정부에 넘어가면서 하루아침에 빈털터리가 된다. 이에 앙심을 품은 아드리안은 외계 첨단무기를 훔쳐서 개조하는 빌런이 되고, 그의 존재를 알게 된 피터는 도움을 빌리지 않고 자기가 일을 해결해보려고 한다.",/hjki9weYYVABvkpZbX5jBOmKXXv.jpg,False
KR,대한민국,movie,1311031,극장판 귀멸의 칼날: 무한성편,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,ja,2025-07-18,"16,28,14","애니메이션, 액션, 판타지",156.147,8.645,1669,"혈귀로 변해버린 여동생 네즈코를 인간으로 되돌리기 위해 혈귀를 사냥하는 조직인 《귀살대》에 입대한 카마도 탄지로. 입대 후 동료인 아가츠마 젠이츠, 하시비라 이노스케와 함께 많은 혈귀와 싸우고, 성장하면서 세 사람의 우정과 유대는 깊어진다. 탄지로는 《귀살대》 최고위 검사인 《주》와도 함께 싸웠다. 「무한열차」에서는 염주・렌고쿠 쿄쥬로, 「유곽」에서는 음주・우즈이 텐겐, 「도공 마을」에서는 하주・토키토 무이치로, 연주・칸로지 미츠리와 함께 혈귀를 상대로 격렬한 전투를 벌였다. 그 후 다가올 혈귀와의 결전에 대비해 귀살대원들과 함께 《주》가 주도하는 합동 강화 훈련에 참가해 훈련을 받던 도중 《귀살대》의 본부인 우부야시키 저택에 나타난 키부츠지 무잔. 어르신의 위기에 달려온 《주》들과 탄지로였지만, 무잔의 술수로 의문의 공간으로 떨어지고 말았는데. 탄지로 일행이 떨어진 곳, 그곳은 혈귀의 본거지 《무한성》─ “귀살대”와 “혈귀”의 최종 결전의 포문이 열린다.",/a6wK0b9cIEnpu1og37ZyBah0Bv6.jpg,False
KR,대한민국,movie,1630409,채권추심원,คนเดือดทวงแค้น,th,2026-07-20,"28,53,80","액션, 스릴러, 범죄",139.9791,7.667,66,"감옥에서 출소한 후 죄책감에 시달리던 한 전직 채권 추심원이 불치병과 사투를 벌이며, 사채 피해자들을 위해 복수하기 위해 과거의 세계로 돌아온다.",/2h4ikWt6TddvIAhMdS3WGVXhaRf.jpg,False
KR,대한민국,movie,1510795,"Shake, Rattle & Roll: Evil Origins","Shake, Rattle & Roll: Evil Origins",tl,2026-06-05,27,공포,132.5101,3.0,4,,/3OdniYj4P7XbGb8qe2e16JK0hwO.jpg,False
KR,대한민국,movie,429617,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,en,2019-06-28,"28,12,878","액션, 모험, SF",122.0066,7.394,17279,"어벤져스 멤버들과 타노스와의 대접전을 마친 뒤, 지난 5년 동안 사라졌던 사람들이 동시에 돌아왔다. 아이언맨이 떠난 채 한동안 지구를 구할 히어로가 공석인 상황을 수습할 히어로는 현재 스파이더맨 피터 파커뿐이다. 친구들과의 유럽 현장학습 도중 닉 퓨리의 부름을 받게 된 피터는 미스테리오라는 정체 모를 히어로와 힘을 합쳐 엘리멘탈이라는 괴생명체를 무찔러야 하는 상황에 처한다. 그런데 피터는 지구를 구하는 일보다 MJ에게 멋지게 고백할 계획이 우선인데...",/3YewJtji80oIroeXUavNRZkeXfQ.jpg,False
KR,대한민국,movie,1668364,당신의 욕망,Deseo,es,2026-05-07,"9648,18","미스터리, 드라마",98.92,6.745,194,"모든 걸 다 가진 것처럼 보이는 여자. 격정적인 로맨스에 휘말리면서 걷잡을 수 없는 파국으로 치닫는다. 이를 계기로 가족을 향한 사랑이 시험대에 오르고, 결국 그녀는 가족을 지키기 위해 자신이 어떤 일까지 할 수 있는지 깨닫게 된다. 완벽해 보이는 삶을 사는 성공한 변호사 루세로. 딸의 젊은 수영 코치와 격정적인 불륜에 빠져든다. 금지된 욕망으로 시작된 관계는 이내 아슬아슬하게 유지해 온 결혼 생활과 커리어를 위협하는 불씨가 된다. 결국 루세로의 세상이 무너지면서 걷잡을 수 없는 파국이 시작되고, 가족을 향한 사랑이 시험대에 오르는데. 이제 루세로는 가족을 지키기 위해 어디까지 갈 수 있는지 자신의 한계를 마주하게 된다.",/iHcyv2w6KBlnCtcpAmgsLpA85ny.jpg,False
KR,대한민국,movie,949838,72시간,72 HOURS,en,2026-07-20,"35,80","코미디, 범죄",85.235,6.778,272,20대 청년들의 단체 채팅방에 실수로 초대된 마흔 살 기업 임원. 커리어를 지키기 위해 마이애미에서 열리는 광란의 총각 파티에 합류한다.,/3CgkGMUnfR2gfuvO2DUnxCOV5Vi.jpg,False
KR,대한민국,movie,278,쇼생크 탈출,The Shawshank Redemption,en,1994-09-23,"18,80","드라마, 범죄",79.645,8.727,30947,"촉망받는 은행 간부 앤디 듀프레인은 아내와 그녀의 정부를 살해했다는 누명을 쓴다. 주변의 증언과 살해 현장의 그럴듯한 증거들로 그는 종신형을 선고받고 악질범들만 수용한다는 지옥같은 교도소 쇼생크로 향한다. 인간 말종 쓰레기들만 모인 그곳에서 그는 이루 말할 수 없는 억압과 짐승보다 못한 취급을 당한다. 그러던 어느 날, 간수의 세금을 면제받게 해 준 덕분에 그는 일약 교도소의 비공식 회계사로 일하게 된다. 그 와중에 교도소 소장은 죄수들을 이리저리 부리면서 검은 돈을 긁어 모으고 앤디는 이 돈을 세탁하여 불려주면서 그의 돈을 관리하는데...",/qV9BQZdiM8foEzDz0Ag5hGWE5qM.jpg,False
KR,대한민국,movie,1487861,엘리지의 그림자,Elize: Sombras de uma Mulher,pt,2026-07-22,"53,80,18","스릴러, 범죄, 드라마",70.277,7.4,131,"브라질을 충격에 빠뜨린 엘리지 마쓰나가 사건에서 영감을 받은 작품. 《엘리지의 그림자》는 남편을 살해하고 시신을 훼손한 엘리지의 이야기를 픽션의 시각으로 재구성해, 파란만장한 관계의 내막과 끔찍한 범죄로 이어진 선택을 조명한다.",/rfGsWCzUDVtv9DXW0hTbZeuTA6R.jpg,False
KR,대한민국,movie,324857,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,en,2018-12-06,"16,28,12,878","애니메이션, 액션, 모험, SF",72.6553,8.393,17552,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까?",/d9V6Q9vpVpmaca7vwSUbCajtDb3.jpg,False
